x,etrunc
2.05304,3.9399
2.15133,4.06611
2.24633,4.21002
2.35281,4.34951
2.4511,4.48015
2.54939,4.61299
2.65261,4.72814
2.75092,4.80787
2.85091,4.84112
2.94763,4.83896
3.05093,4.79033
3.15098,4.70849
3.2494,4.59567
3.3544,4.45409
3.4512,4.30364
3.54801,4.14656
3.65137,3.99391
3.74983,3.81248
3.84827,3.66203
3.95001,3.48946
4.04518,3.32131
4.15018,3.16644
4.24701,2.97173
4.34546,2.81022
4.44882,2.65978
4.54727,2.49385
4.65064,2.3257
4.75075,2.13542
4.84598,1.86104
4.94928,1.81462
5.04778,1.569
5.1511,1.48275
5.24629,1.2814
5.34811,0.95833
5.45165,0.48033
5.54653,0.84999
5.64994,0.60881
5.74837,0.48492
5.84509,0.48276
5.94847,0.30355
6.04863,0.00261
