50,0.32,4.1,-2.3,0.1,3.8,-1.9
100,0.65,3.8,-2.0,0.2,3.5,-1.8
200,1.3,3.5,-1.8,0.41,3.2,-1.6
500,3.2,3.2,-1.7,1.0,2.9,-1.5
1000,6.2,3.0,-1.6,2.0,2.7,-1.4
2000,12,2.7,-1.6,3.8,2.4,-1.3
5000,27,2.3,-1.5,8.6,2.1,-1.3
10000,47,2.0,-1.4,15,1.8,-1.2
20000,77,1.8,-1.3,26,1.6,-1.1
50000,140,1.5,-1.2,49,1.3,-1.
100000,210,1.4,-1.2,75,1.2,-1.
200000,310,1.5,-1.1,110,1.2,-0.9
500000,490,1.6,-1.0,180,1.3,-0.8
1.e6,690,1.7,-0.9,260,1.4,-0.8
2.e6,950,1.9,-0.9,360,1.6,-0.8
5.e6,1400,2.0,-0.9,540,1.8,-0.8
1.e7,1900,2.2,-0.9,730,2.0,-0.8
2.e7,2600,2.3,-0.9,980,2.2,-0.8
5.e7,3700,2.5,-0.9,1400,2.4,-0.9
1.e8,4800,2.7,-0.9,1900,2.6,-0.9
2.e8,6200,2.8,-1.0,2400,2.7,-1.
5.e8,8700,3.0,-1.1,3400,2.9,-1.
1.e9,11000,3.1,-1.2,4400,3.0,-1.1
2.e9,14000,3.3,-1.2,5600,3.2,-1.2
5.e9,19000,3.4,-1.4,7600,3.4,-1.3
1.e10,24000,3.6,-1.5,9600,3.5,-1.4
2.e10,30000,3.7,-1.6,12000,3.6,-1.5
5.e10,39000,3.8,-1.7,16000,3.8,-1.7
1.e11,48000,4.0,-1.8,20000,3.9,-1.8
2.e11,59000,4.1,-1.9,24000,4.0,-1.9
5.e11,75000,4.2,-2.0,31000,4.2,-2.0
