50,0.43,2.6,-1.8,0.11,3.2,-1.7
100,0.87,2.5,-1.5,0.21,3.0,-1.5
200,1.7,2.3,-1.4,0.43,2.7,-1.4
500,4.2,2.1,-1.3,1.1,2.5,-1.3
1000,8.1,2.0,-1.3,2.1,2.3,-1.3
2000,15,1.9,-1.2,4.0,2.1,-1.2
5000,34,1.8,-1.2,9.0,1.8,-1.1
10000,58,1.7,-1.2,16,1.6,-1.1
20000,94,1.6,-1.1,27,1.4,-1.
50000,160,1.4,-1.1,50,1.2,-1.
100000,240,1.4,-1.0,77,1.1,-0.9
200000,340,1.4,-1.0,110,1.2,-0.9
500000,530,1.5,-0.9,180,1.3,-0.8
1.e6,730,1.6,-0.9,260,1.5,-0.8
2.e6,1000,1.8,-0.9,360,1.6,-0.8
5.e6,1500,2.0,-0.9,540,1.8,-0.8
1.e7,2000,2.1,-0.9,740,2.0,-0.8
2.e7,2600,2.3,-0.9,990,2.2,-0.8
5.e7,3700,2.5,-0.9,1400,2.4,-0.9
1.e8,4900,2.6,-0.9,1900,2.6,-0.9
2.e8,6300,2.8,-1.0,2400,2.7,-1.
5.e8,8700,3.0,-1.1,3400,2.9,-1.
1.e9,11000,3.1,-1.2,4400,3.0,-1.1
2.e9,14000,3.2,-1.2,5600,3.2,-1.2
5.e9,19000,3.4,-1.4,7600,3.4,-1.3
1.e10,24000,3.5,-1.5,9600,3.5,-1.4
2.e10,30000,3.7,-1.6,12000,3.6,-1.5
5.e10,39000,3.8,-1.7,16000,3.8,-1.7
1.e11,48000,4.0,-1.8,20000,3.9,-1.8
2.e11,59000,4.1,-1.9,24000,4.0,-1.9
5.e11,75000,4.2,-2.0,31000,4.2,-2.0
