50,0.21,7.5,-4.2,0.09,4.5,-2.2
100,0.43,6.9,-3.6,0.19,4.1,-2.1
200,0.88,6.3,-3.4,0.39,3.8,-1.9
500,2.2,5.6,-3.1,0.95,3.4,-1.8
1000,4.4,5.1,-2.9,1.9,3.1,-1.7
2000,8.5,4.5,-2.7,3.6,2.9,-1.6
5000,20,3.5,-2.4,8.3,2.5,-1.5
10000,35,2.8,-2.2,15,2.2,-1.4
20000,61,2.3,-1.9,25,1.9,-1.3
50000,120,1.8,-1.6,48,1.5,-1.2
100000,180,1.7,-1.4,73,1.3,-1.1
200000,270,1.7,-1.2,110,1.2,-1.
500000,450,1.7,-1.1,180,1.3,-0.9
1.e6,640,1.8,-1.0,250,1.4,-0.8
2.e6,900,1.9,-1.0,350,1.6,-0.8
5.e6,1400,2.1,-0.9,540,1.8,-0.8
1.e7,1900,2.2,-0.9,730,2.0,-0.8
2.e7,2500,2.4,-0.9,980,2.2,-0.8
5.e7,3600,2.6,-0.9,1400,2.4,-0.8
1.e8,4800,2.7,-1.0,1900,2.5,-0.9
2.e8,6200,2.8,-1.0,2400,2.7,-0.9
5.e8,8600,3.0,-1.1,3400,2.9,-1.
1.e9,11000,3.1,-1.2,4400,3.0,-1.1
2.e9,14000,3.3,-1.3,5600,3.2,-1.2
5.e9,19000,3.4,-1.4,7600,3.4,-1.3
1.e10,24000,3.6,-1.5,9600,3.5,-1.4
2.e10,29000,3.7,-1.6,12000,3.6,-1.5
5.e10,39000,3.8,-1.7,16000,3.8,-1.7
1.e11,48000,4.0,-1.8,20000,3.9,-1.8
2.e11,59000,4.1,-1.9,24000,4.0,-1.9
5.e11,75000,4.2,-2.0,31000,4.2,-2.0
