50,0.2,17.4,-10.5,0.05,13.3,-7.1
100,0.42,15.6,-9.0,0.12,11.8,-6.3
200,0.86,14.2,-8.1,0.24,10.8,-5.7
500,2.2,12.8,-7.2,0.61,9.6,-5.1
1000,4.3,11.6,-6.6,1.2,8.7,-4.7
2000,8.5,10.4,-6.0,2.4,7.8,-4.3
5000,20,8.3,-4.9,5.7,6.4,-3.6
10000,36,6.6,-4.0,11,5.3,-3.
20000,64,4.9,-3.1,19,4.1,-2.4
50000,130,3.0,-2.1,39,2.7,-1.7
100000,200,2.1,-1.6,63,1.9,-1.3
200000,300,1.6,-1.2,98,1.5,-1.1
500000,490,1.5,-1.0,170,1.4,-0.9
1.e6,700,1.6,-0.9,240,1.5,-0.8
2.e6,970,1.8,-0.9,340,1.6,-0.8
5.e6,1500,2.0,-0.9,530,1.8,-0.8
1.e7,2000,2.1,-0.9,730,2.0,-0.8
2.e7,2600,2.3,-0.9,980,2.2,-0.8
5.e7,3700,2.5,-0.9,1400,2.4,-0.8
1.e8,4900,2.6,-0.9,1900,2.5,-0.9
2.e8,6300,2.8,-1.0,2400,2.7,-0.9
5.e8,8700,3.0,-1.1,3400,2.9,-1.
1.e9,11000,3.1,-1.2,4400,3.0,-1.1
2.e9,14000,3.2,-1.2,5600,3.2,-1.2
5.e9,19000,3.4,-1.4,7600,3.4,-1.3
1.e10,24000,3.5,-1.5,9600,3.5,-1.4
2.e10,30000,3.7,-1.6,12000,3.6,-1.5
5.e10,39000,3.8,-1.7,16000,3.8,-1.7
1.e11,48000,4.0,-1.8,20000,3.9,-1.8
2.e11,59000,4.1,-1.9,24000,4.0,-1.9
5.e11,75000,4.2,-2.0,31000,4.2,-2.0
